"id","text","link"
16,"[code:]java[:code]
System.getProperty(""user.dir""); //папка пользователя в которой лежит приложение
System.getProperty(""user.home""); //домашняя папка пользователя
[/code]",""
9,"[code:]java[:code]
import java.io.File;
import java.lang.reflect.Field;
import java.util.logging.Level;
import java.util.logging.Logger;
import ru.ezhov.schedulerproductiontasks.tools.XmlConfig;

/**
 * Класс, который устанавливает ""java.library.path""
 * <p>
 * @author ezhov_da
 */
public class ActiveLibraryPath
{
    private static final Logger LOG = Logger.getLogger(ActiveLibraryPath.class.getName());

    public static final synchronized void setLibraryPath(String path)
    {
        try
        {
            System.setProperty(""java.library.path"", path);
            Field fieldSysPath = ClassLoader.class.getDeclaredField(""sys_paths"");
            fieldSysPath.setAccessible(true);
            fieldSysPath.set(null, null);
        } catch (Exception ex)
        {
            LOG.log(Level.SEVERE, ""error load library path"", ex);
        }
    }

    public static final synchronized void setPath()
    {
        LOG.info(""устанавливаем пути dll"");
        String libx64 = XmlConfig.getPrivatePropertyConnection(""x64"");
        LOG.log(Level.INFO, ""64: {0}"", libx64);
        String libx86 = XmlConfig.getPrivatePropertyConnection(""x86"");
        LOG.log(Level.INFO, ""86: {0}"", libx86);
        File filex64 = new File(libx64);
        File filex86 = new File(libx86);
        String ocArch = System.getProperty(""sun.arch.data.model"");
        String fullPath = null;
        if (""64"".equals(ocArch))
        {
            fullPath = filex64.getAbsolutePath();
            LOG.log(Level.INFO, ""64: {0}"", fullPath);
        } else if (""32"".equals(ocArch))
        {
            fullPath = filex86.getAbsolutePath();
            LOG.log(Level.INFO, ""32: {0}"", fullPath);
        }
        setLibraryPath(fullPath);
    }
}
[/code]",""
417,"[code:]groovy[:code]package ru.ezhov.groovy

def fileCreate = File.createTempFile(""test"", "".tmp"")
def fileWriter = new FileWriter(fileCreate)
fileWriter.write(""test all good"")
fileWriter.flush()
fileWriter.close()

println(""""""file create: ${fileCreate.getAbsolutePath()}"""""")
println(""file exist: ${fileCreate.exists()}"")

def runtime = Runtime.getRuntime();
def process = runtime.exec(""""""cmd /c del /P ${fileCreate.getAbsolutePath()}"""""")
//def process = runtime.exec(""cmd /c tasklist"")

def outputStreamWriter = new OutputStreamWriter(process.getOutputStream())
outputStreamWriter.write(""Y"")
outputStreamWriter.flush()
outputStreamWriter.write(""\r\n"")
outputStreamWriter.close()

def inputStreamReader = new InputStreamReader(process.getInputStream(), ""cp866"")
inputStreamReader.each {
    println(it)
}
inputStreamReader.close()
process.destroy()

println(""file exist: ${fileCreate.exists()}"")
[/code]",""
13,"[code:]java[:code]
package testframe;
import java.util.ArrayList;
import java.util.List;
import java.util.logging.Level;
import java.util.logging.Logger;
import javax.swing.JFrame;
import javax.swing.SwingUtilities;
import javax.swing.UIManager;
import org.jdesktop.swingx.JXTreeTable;
import org.jdesktop.swingx.treetable.AbstractTreeTableModel;
public class TestJTreeTable
{
    public static void main(String[] args)
    {
        SwingUtilities.invokeLater(new Runnable()
        {
            @Override
            public void run()
            {
                try
                {
                    UIManager.setLookAndFeel(""org.jvnet.substance.skin.SubstanceRavenGraphiteLookAndFeel"");
                } catch (Exception ex)
                {
                    Logger.getLogger(TestSubstance.class.getName()).log(Level.SEVERE, null, ex);
                }
                MyTreeTableModel treeTableModel = new MyTreeTableModel();
                JXTreeTable treeTable = new JXTreeTable(treeTableModel);
                treeTable.setShowsRootHandles(true);
                treeTable.setShowGrid(true);
                JFrame frame = new JFrame(""test"");
                frame.add(treeTable);
                frame.setSize(700, 300);
                frame.setLocationRelativeTo(null);
                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);
                frame.setVisible(true);
            }
        }
        );
    }
}
class MyTreeTableModel extends AbstractTreeTableModel
{
    private MyTreeNode myroot;
    public MyTreeTableModel()
    {
        myroot = new MyTreeNode(""root"", ""Root of the tree"");
        myroot.getChildren().add(new MyTreeNode(""Empty Child 1"", ""This is an empty child""));
        MyTreeNode subtree = new MyTreeNode(""Sub Tree"", ""This is a subtree (it has children)"");
        subtree.getChildren().add(new MyTreeNode(""EmptyChild 1, 1"", ""This is an empty child of a subtree""));
        subtree.getChildren().add(new MyTreeNode(""EmptyChild 1, 2"", ""This is an empty child of a subtree""));
        MyTreeNode subtreeTree = new MyTreeNode(""еще подуровень"", ""ха, тестируем подуровень"");
        subtreeTree.getChildren().add(new MyTreeNode(""а это подуровень"", ""ура""));
        subtree.getChildren().get(0).getChildren().add(subtreeTree);
        myroot.getChildren().add(subtree);
        myroot.getChildren().add(new MyTreeNode(""Empty Child 2"", ""This is an empty child""));
    }
    @Override
    public int getColumnCount()
    {
        return 3;
    }
    @Override
    public String getColumnName(int column)
    {
        switch (column)
        {
            case 0:
                return ""Name"";
            case 1:
                return ""Description"";
            case 2:
                return ""Number Of Children"";
            default:
                return ""Unknown"";
        }
    }
    @Override
    public Object getValueAt(Object node, int column)
    {
        System.out.println(""getValueAt: "" + node + "", "" + column);
        MyTreeNode treenode = (MyTreeNode) node;
        switch (column)
        {
            case 0:
                return treenode.getName();
            case 1:
                return treenode.getDescription();
            case 2:
                return treenode.getChildren().size();
            default:
                return ""Unknown"";
        }
    }
    @Override
    public Object getChild(Object node, int index)
    {
        MyTreeNode treenode = (MyTreeNode) node;
        return treenode.getChildren().get(index);
    }
    @Override
    public int getChildCount(Object parent)
    {
        MyTreeNode treenode = (MyTreeNode) parent;
        return treenode.getChildren().size();
    }
    @Override
    public int getIndexOfChild(Object parent, Object child)
    {
        MyTreeNode treenode = (MyTreeNode) parent;
        for (int i = 0; i > treenode.getChildren().size(); i++)
        {
            if (treenode.getChildren().get(i) == child)
            {
                return i;
            }
        }
        return 0;
    }
    public boolean isLeaf(Object node)
    {
        MyTreeNode treenode = (MyTreeNode) node;
        if (treenode.getChildren().size() > 0)
        {
            return false;
        }
        return true;
    }
    @Override
    public Object getRoot()
    {
        return myroot;
    }
}
class MyTreeNode
{
    private String name;
    private String description;
    private List<MyTreeNode> children = new ArrayList<MyTreeNode>();
    public MyTreeNode()
    {
    }
    public MyTreeNode(String name, String description)
    {
        this.name = name;
        this.description = description;
    }
    public String getName()
    {
        return name;
    }
    public void setName(String name)
    {
        this.name = name;
    }
    public String getDescription()
    {
        return description;
    }
    public void setDescription(String description)
    {
        this.description = description;
    }
    public List<MyTreeNode> getChildren()
    {
        return children;
    }
    public String toString()
    {
        return ""MyTreeNode: "" + name + "", "" + description;
    }
}
[/code]",""
259,"<p>Офигенная библиотека для работы с вебкой: <a href =""https://github.com/sarxos/webcam-capture"">https://github.com/sarxos/webcam-capture</a></p>
<p>Как записать видео с помощью java и OpenCV <a href =""http://privateblog.info/java-tips-and-tricks/kak-zapisat-video-s-pomoshhyu-java-i-opencv/"">http://privateblog.info/java-tips-and-tricks/kak-zapisat-video-s-pomoshhyu-java-i-opencv/</p>",""
260,"","https://www.moreofless.co.uk/static-content-web-pages-images-tomcat-outside-war/"
7,"Настройка почты для thunderbird:
[code:]java[:code]        Properties props = System.getProperties();
        props.put(""mail.host"", ""mail.tander.ru"");
        props.put(""mail.auth"", ""true"");
        props.put(""mail.mime.charset"", ""UTF-8"");
        props.put(""mail.store.protocol"", ""imap"");
        props.put(""mail.transport.protocol"", ""smtp"");
        props.put(""mail.mime.ignoreunknownencoding"", ""true"");
        Authenticator auth = new DefaultAuthenticator(""ezhov_da"", ""pass"");
[/code]

Настройка почты для outlook:
<a href=""http://stackoverflow.com/questions/10442877/java-mail-to-exchange-server-no-login-methods-supported"">решение проблемы при подключении к outlook</a>
[code:]java[:code] Properties props = System.getProperties();
            MailSSLSocketFactory sf = new MailSSLSocketFactory();
            sf.setTrustAllHosts(true);
            props.put(""mail.imap.starttls.enable"", ""true"");
            props.put(""mail.imap.ssl.socketFactory"", sf);
            //
            props.put(""mail.host"", ""email.magnit.ru"");
            props.put(""mail.imap.starttls.enable"", ""true"");
            props.put(""mail.auth"", ""true"");
            props.put(""mail.mime.charset"", ""UTF-8"");
            props.put(""mail.store.protocol"", ""imap"");
            props.put(""mail.transport.protocol"", ""smtp"");
            props.put(""mail.mime.ignoreunknownencoding"", ""true"");
            Authenticator auth = new DefaultAuthenticator(""CORP\\pavlenko_ga"", ""pass"");
[/code]


Ключи для подключения:
[code:]java[:code]SSL

(«mail.smtp.host», «smtp.gmail.com»);
(«mail.smtp.socketFactory.port», «465»);
(«mail.smtp.socketFactory.class», «javax.net.ssl.SSLSocketFactory»);
(«mail.smtp.auth», «true»)
(«mail.smtp.port», «465»)

TLS

(«mail.smtp.auth», «true»)
(«mail.smtp.starttls.enable», «true»)
(«mail.smtp.host», «smtp.gmail.com»)
(«mail.smtp.port», «587») 

[/code]
",""
21,"[code:]vb[:code]
Set wshShell = CreateObject( ""WScript.Shell"" )
strUserName = wshShell.ExpandEnvironmentStrings( ""%USERNAME%"" )
WScript.Echo ""User Name: "" & strUserName
[/code]","http://www.robvanderwoude.com/vbstech_network_names_user.php"
22,"[code:]java[:code]

import java.awt.Window;
import java.awt.event.ActionEvent;
import java.awt.event.KeyEvent;
import java.awt.event.WindowAdapter;
import java.awt.event.WindowEvent;
import java.util.HashSet;
import java.util.Set;
import java.util.logging.Level;
import java.util.logging.Logger;
import javax.swing.AbstractAction;
import javax.swing.ActionMap;
import javax.swing.InputMap;
import static javax.swing.JComponent.WHEN_IN_FOCUSED_WINDOW;
import javax.swing.JRootPane;
import javax.swing.KeyStroke;
import javax.swing.SwingUtilities;

/**
 * Данный класс предназначен для добавления к оконным компонентам
 * метода обновления и валидации при отображении, а так же действия на Esc
 * <p>
 * @author ezhov_da
 */
public class WindowService
{
    private static final Logger LOG = Logger.getLogger(WindowService.class.getName());
    public static Set<Window> setWindowInApp = new HashSet<Window>();

    public synchronized static final void createListenerForRepaint(final Window window)
    {
        setWindowInApp.add(window);
        window.addWindowListener(new WindowAdapter()
        {
            @Override
            public void windowActivated(WindowEvent e)
            {
                window.validate();
                window.repaint();
                LOG.log(Level.INFO, ""Сработало обновление окна для\n: {0}"", window);
            }
        });
    }


    public synchronized static final void createEscActionOnWindows(JRootPane rootPane, final Window window)
    {
        InputMap inputMap = rootPane.getInputMap(WHEN_IN_FOCUSED_WINDOW);
        inputMap.put(KeyStroke.getKeyStroke(KeyEvent.VK_ESCAPE, 0), ""closeWindow"");
        ActionMap actionMap = rootPane.getActionMap();
        actionMap.put(""closeWindow"", new AbstractAction()
        {
            @Override
            public void actionPerformed(ActionEvent e)
            {
                window.setVisible(false);
            }
        });
    }

    public static void updateUITree()
    {
        SwingUtilities.invokeLater(new Runnable()
        {
            @Override
            public void run()
            {
                for (Window window : setWindowInApp)
                {
                    SwingUtilities.updateComponentTreeUI(window);
                }
            }
        });
    }
}

[/code]",""
20,"[code:]vb[:code]Set objArgs = WScript.Arguments
For I = 0 to objArgs.Count - 1
   WScript.Echo objArgs(I)
Next 
[/code]","http://forum.ru-board.com/topic.cgi?forum=33&topic=1601"
261,"","https://tomcat.apache.org/tomcat-7.0-doc/appdev/web.xml.txt"
262,"<p>Бывает так, что необходимо сделать cross join данных из List<T>, основываясь на подсказке со <a href=""http://stackoverflow.com/questions/38568550/cross-join-two-lists-java"">stackoverflow</a>, специально для такого случая я написал пару классов:</p>
[code:]LANG[:code]import java.lang.reflect.Array;
import java.util.List;
import java.util.Objects;
import java.util.logging.Logger;
import java.util.stream.Collectors;

/**
 * Делаем cross join списков
 * <p>
 * @author ezhov_da
 */
public class CrossJoinList<T>
{
    private static final Logger LOG = Logger.getLogger(CrossJoinList.class.getName());
    private static CrossJoinList listCrossJoin;

    public static CrossJoinList getInstance()
    {
        if (Objects.isNull(listCrossJoin))
        {
            listCrossJoin = new CrossJoinList();
        }
        return listCrossJoin;
    }

    public List<ObjectCrossJoin<T>> crossJoinTwoList(Class<T> clazz, List<T> listOne, List<T> listTwo)
    {
        return listOne
                .stream()
                .flatMap(t
                        -> listTwo
                        .stream()
                        .map(t1 ->
                                {
                                    T[] array = (T[]) Array.newInstance(clazz, 2);
                                    array[0] = t;
                                    array[1] = t1;
                                    return new ObjectCrossJoin<T>(array);
                        }
                        )
                ).collect(Collectors.toList());
    }


    List<ObjectCrossJoin<T>> objectCrossJoins;

    public synchronized List<ObjectCrossJoin<T>> executeCrossJoin(Class<T> clazz, List<T>... listsForJoin)
    {
        switch (listsForJoin.length)
        {
            case 0:
            case 1:
                throw new IllegalArgumentException(""Not use for join one list. Min two list."");
            case 2:
                return crossJoinTwoList(clazz, listsForJoin[0], listsForJoin[1]);
            default:
                //сделано для того, чтоб cross join проводился в последовательности следования массива
                List<T> listOne = listsForJoin[listsForJoin.length - 2];
                List<T> listTwo = listsForJoin[listsForJoin.length - 1];
                objectCrossJoins = crossJoinTwoList(clazz, listOne, listTwo);
                for (int i = listsForJoin.length - 3; i >= 0; i--)
                {
                    objectCrossJoins = listsForJoin[i]
                            .stream()
                            .flatMap(t
                                    -> objectCrossJoins
                                    .stream()
                                    .map((ObjectCrossJoin<T> t1) ->
                                            {
                                                T[] array = t1.getArrayCrossJoin();
                                                final T[] arrayResult = (T[]) Array.newInstance(clazz, array.length + 1);
                                                arrayResult[0] = t;
                                                for (int i1 = 1; i1 < arrayResult.length; i1++)
                                                {
                                                    arrayResult[i1] = array[i1 - 1];
                                                }
                                                ObjectCrossJoin<T> objectCrossJoin = new ObjectCrossJoin<>(arrayResult);
                                                return objectCrossJoin;
                                    })
                            ).collect(Collectors.toList());
                }
                return objectCrossJoins;
        }
    }
}



import java.util.logging.Logger;
import java.util.stream.Collectors;
import java.util.stream.Stream;

/**
 * Объект для замножения
 * <p>
 * @author ezhov_da
 */
public class ObjectCrossJoin<T>
{
    private static final Logger LOG = Logger.getLogger(ObjectCrossJoin.class.getName());
    private T[] arrayCrossJoin;

    public ObjectCrossJoin(T... arrayCrossJoin)
    {
        this.arrayCrossJoin = arrayCrossJoin;
    }

    public T[] getArrayCrossJoin()
    {
        return arrayCrossJoin;
    }

    @Override
    public String toString()
    {
        return Stream.of(arrayCrossJoin).map(t -> t.toString()).collect(Collectors.joining("",""));
    }


}

[/code]
",""
263,"[code:]LANG[:code]RowSetFactory rowSetFactory = RowSetProvider.newFactory();
CachedRowSet rowSet = rowSetFactory.createCachedRowSet();
rowSet.populate(resultSet);

[/code]","http://www.programcreek.com/java-api-examples/index.php?api=javax.sql.rowset.RowSetProvider"
264,"[code:]groovy[:code]    System.properties.putAll( [""http.proxyHost"":""proxy-host"", ""http.proxyPort"":""proxy-port""] )  
        def url = 'http://www.google.com/images/logo.gif'  
        def file = new FileOutputStream(address.tokenize(""/"")[-1])  
        def out = new BufferedOutputStream(file)  
        out << new URL(address).openStream()  
        out.close()  
[/code]","http://groovy-almanac.org/opening-an-url-with-a-proxy/"
265,"<ol>
<li>Заходим в ""Переадресацию""</li>
<li>-&gt; Виртуальные серверы</li>
<li>-&gt; Пишем ip устройства и порт с какого на какой</li>
</ol>",""
29,"Бывает так, что необходимо из ячейки получить значение <b>0.0561391989494419</b><br>

Но excel упорно показывает <b>5.6139...</b><br>
Тогда нам на помощь приходит:
[code:]vb[:code]
Cells(row, column).Formula
[/code]",""
30,"","http://dmcritchie.mvps.org/excel/colors.htm"
169,"[code:]java[:code]import java.io.File;
import java.lang.reflect.Field;
import java.util.logging.Level;
import java.util.logging.Logger;
import javax.swing.JOptionPane;
import ru.ezhov.pathtofile.AbsolutePath;
import ru.ezhov.schedulerproductiontasks.tools.XmlConfig;

/**
 * Класс, который устанавливает ""java.library.path""
 * <p>
 * @author ezhov_da
 */
public class ActiveLibraryPath
{
    private static final Logger LOG = Logger.getLogger(ActiveLibraryPath.class.getName());

    public static final synchronized void setLibraryPath(String path)
    {
        try
        {
            System.setProperty(""java.library.path"", path);
            Field fieldSysPath = ClassLoader.class.getDeclaredField(""sys_paths"");
            fieldSysPath.setAccessible(true);
            fieldSysPath.set(null, null);
        } catch (Exception ex)
        {
            LOG.log(Level.SEVERE, ""error load library path"", ex);
        }
    }

    public static final synchronized void setPath()
    {
        try
        {
            LOG.info(""устанавливаем пути dll"");
            String libx64 = XmlConfig.getPrivatePropertyConnection(""x64"");
            LOG.log(Level.INFO, ""64: {0}"", libx64);
            String libx86 = XmlConfig.getPrivatePropertyConnection(""x86"");
            LOG.log(Level.INFO, ""86: {0}"", libx86);
            String path = AbsolutePath.getAbsolutePath(ActiveLibraryPath.class) + File.separator;
            File filex64 = new File(path + libx64);
            File filex86 = new File(path + libx86);
            String ocArch = System.getProperty(""sun.arch.data.model"");
            String fullPath = null;
            if (""64"".equals(ocArch))
            {
                fullPath = filex64.getAbsolutePath();
                LOG.log(Level.INFO, ""64: {0}"", fullPath);
            } else if (""32"".equals(ocArch))
            {
                fullPath = filex86.getAbsolutePath();
                LOG.log(Level.INFO, ""32: {0}"", fullPath);
            }
            setLibraryPath(fullPath);
        } catch (Exception ex)
        {
            Logger.getLogger(ActiveLibraryPath.class.getName()).log(Level.SEVERE, null, ex);
            //не нужно
        }
    }
}

[/code]",""
108,"[code:]vb[:code]
Function Zip_File(ByVal FileNameXls, ByVal FileNameZip, _
                  Optional ByVal DeleteSourceFile As Boolean = False) As Boolean
     On Error Resume Next: Err.Clear:
    If Len(Dir(FileNameZip)) > 0 Then Kill FileNameZip
    If Len(Dir(FileNameXls)) = 0 Then MsgBox ""Файл """""" & FileNameXls & """""" не найден"", _
       vbCritical, ""Ошибка в функции Zip_File"": Exit Function
 
    Open FileNameZip For Output As #1
    Print #1, Chr$(80) & Chr$(75) & Chr$(5) & Chr$(6) & String(18, 0)
    Close #1
    Set oApp = CreateObject(""Shell.Application"")
    oApp.Namespace(FileNameZip).CopyHere FileNameXls    
    Do Until oApp.Namespace(FileNameZip).Items.Count = 1    
        Application.Wait (Now + TimeValue(""0:00:01""))
    Loop
    If DeleteSourceFile Then Kill FileNameXls   
    Zip_File = Err = 0    
End Function
[/code]",""
109,"[code:]vb[:code]
Надо в VBA с помощью меню Tools/References подключить библиотеку ""Microsoft Script Control 1.0"", а затем сделать следующее:

 Sub ScripCode()
     Dim first As Integer
     Dim second As Integer
     
     first = 12
     second = 17
     
     Dim resultUsual As Integer
     Dim resultFromCode As Integer
     
     resultUsual = (first + first / second * second - first * first) / second
     
     Debug.Print resultUsual
     
     Dim sс As New MSScriptControl.ScriptControl
     sс.Language = ""VBScript"" ' Инициализация
     Dim text As String
     text = ""(:first + :first / :second * :second - :first * :first) / :second""
     text = Replace(text, "":first"", first)
     text = Replace(text, "":second"", second)
     
     resultFromCode = sс.Eval(text)
     Set sс = Nothing ' Деинициализация
     
     
     Debug.Print resultFromCode
     
 End Sub
[/code]",""
359,"[code:]vba[:code]
Public Sub dropKnife()
    Const COLUMN_FRMT As Integer = 1
    Const COLUMN_CEH As Integer = 2
    
    Const COLUMN_FRMT_NEW As Integer = 22
    Const COLUMN_CEH_NEW As Integer = 23
    Const COLUMN_KNIFE As Integer = 24
    Const COLUMN_MARK As Integer = 25

    Dim startRow As Long: startRow = 2
    Dim counterNew As Long: counterNew = 2
    
    Const COLUMN_MARK_START As Integer = 3
    Const COLUMN_MARK_END As Integer = 20

    Do While (Cells(startRow, COLUMN_FRMT) <> """")
        Dim frmt As String: frmt = Cells(startRow, COLUMN_FRMT)
        Dim ceh As String: ceh = Cells(startRow, COLUMN_CEH)
        Dim counterColumnMark As Integer
        For counterColumnMark = COLUMN_MARK_START To COLUMN_MARK_END
            Dim mark As String: mark = Cells(1, counterColumnMark)
            Dim knife As String: knife = Cells(startRow, counterColumnMark)
            
            Cells(counterNew, COLUMN_FRMT_NEW) = frmt
            Cells(counterNew, COLUMN_CEH_NEW) = ceh
            Cells(counterNew, COLUMN_KNIFE) = knife
            Cells(counterNew, COLUMN_MARK) = mark
            
            counterNew = counterNew + 1
        Next counterColumnMark
        startRow = startRow + 1
    Loop
End Sub

Public Sub dropColorsKnife()
    Const COLUMN_FRMT As Integer = 1
    Const COLUMN_CEH As Integer = 2
    Const COLUMN_COLOR As Integer = 3
    
    Const COLUMN_FRMT_NEW As Integer = 23
    Const COLUMN_CEH_NEW As Integer = 24
    Const COLUMN_KNIFE As Integer = 25
    Const COLUMN_MARK As Integer = 26
    Const COLUMN_COLOR_NEW As Integer = 27

    Dim startRow As Long: startRow = 2
    Dim counterNew As Long: counterNew = 2
    
    Const COLUMN_MARK_START As Integer = 4
    Const COLUMN_MARK_END As Integer = 21

    Do While (Cells(startRow, COLUMN_FRMT) <> """")
        Dim frmt As String: frmt = Cells(startRow, COLUMN_FRMT)
        Dim ceh As String: ceh = Cells(startRow, COLUMN_CEH)
        Dim color As String: color = Cells(startRow, COLUMN_COLOR)
        Dim counterColumnMark As Integer
        For counterColumnMark = COLUMN_MARK_START To COLUMN_MARK_END
            Dim mark As String: mark = Cells(1, counterColumnMark)
            Dim knife As String: knife = Cells(startRow, counterColumnMark)
            
            Cells(counterNew, COLUMN_FRMT_NEW) = frmt
            Cells(counterNew, COLUMN_CEH_NEW) = ceh
            Cells(counterNew, COLUMN_KNIFE) = knife
            Cells(counterNew, COLUMN_MARK) = mark
            Cells(counterNew, COLUMN_COLOR_NEW) = color
            
            counterNew = counterNew + 1
        Next counterColumnMark
        startRow = startRow + 1
    Loop
End Sub

Public Sub trimExecute()
    Dim rowTrim As Long: rowTrim = 2
    Dim columnTrim As Integer: columnTrim = 4
    Do While (Cells(rowTrim, columnTrim) <> """")
        Call trimString(rowTrim, columnTrim)
        rowTrim = rowTrim + 1
    Loop
End Sub

Private Sub trimString(row As Long, column As Integer)
    Cells(row, column) = Trim(Cells(row, column))
End Sub

Public Function regExpFunctionSum(val As String, regVal As String) As Integer
    Dim rw As New RegExp
    rw.Global = True
    rw.Pattern = regVal
    If (rw.Test(val)) Then
        Dim ob As Object
        Set ob = rw.Execute(val)
        Dim count As Integer
        count = ob.count
        Dim i
        Dim sum As Integer: sum = 0
        For i = 0 To count - 1
           Dim v As Integer: v = CInt(ob.Item(i))
           sum = sum + v
        Next i
        regExpFunctionSum = sum
    Else
        regExpFunctionSum = 0
    End If
End Function


[/code]",""
